方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
大青龙汤,解表剂,麻黄：去节，12g；桂枝：，6g；甘草：炙，6g；杏仁：去皮尖，6g；石膏：，18g；生姜：，9g；大枣：擘，6g；
桂枝汤,解表剂,桂枝：去皮，9g；芍药：，9g；甘草：炙，6g；生姜：切，9g；大枣：擘，6g；
桂枝加葛根汤,解表剂,桂枝：去皮，6g；芍药：，6g；生姜：切，9g；甘草：炙，6g；大枣：擘，6g；葛根：，12g；
桂枝加桂汤,解表剂,桂枝：去皮，15g；芍药：，9g；生姜：切，9g；甘草：炙，6g；大枣：擘，6g；
桂枝加芍药汤,解表剂,桂枝：去皮，9g；芍药：，18g；甘草：炙，6g；生姜：切，9g；大枣：擘，6g；
九味羌活汤,解表剂,羌活：，9g；防风：，9g；苍术：，9g；细辛：，3g；川芎：，6g；香白芷：，6g；生地黄：，6g；黄岑：，6g；甘草：，6g；
小青龙汤,解表剂,麻黄：去节，9g；芍药：，9g；细辛：，3g；干姜：，6g；甘草：炙，6g；桂节：去皮，9g；五味子：，9g；半夏：洗，9g；
射干麻黄汤,解表剂,射干：，9g；麻黄：，9g；生姜：，12g；细辛：，3g；紫苑：，9g；款冬花：，9g；大枣：，3g；半夏：大者洗，9g；五味子：，9g；
止嗽散,解表剂,桔梗：炒，12g；荆芥：，12g；紫苑：蒸，12g；百部：蒸，12g；甘草：炒，4g；陈皮：水洗&去白，6g；
银翘散,解表剂,连翘：，30g；银花：，30g；苦桔梗：，18g；薄荷：，18g；竹叶：，12g；生甘草：，15g；芥穗：，12g；淡豆豉：，15g；牛蒡子：，18g；
桑菊饮,解表剂,桑叶：，7.5g；菊花：，3g；杏仁：，6g；连翘：，5g；薄荷：，2.5g；苦桔梗：，6g；生甘草：，2.5g；苇根：，6g；
麻黄杏仁甘草石膏汤,解表剂,麻黄：去节，9g；杏仁：去皮尖，9g；甘草：炙，6g；石膏：碎&棉裹，18g；
越婢汤,解表剂,麻黄：，12g；石膏：，24g；生姜：，9g；甘草：，6g；大枣：，12g；
柴葛解肌汤,解表剂,柴胡：，6g；干葛：，9g；甘草：，3g；黄岑：，6g；羌活：，3g；白芷：，3g；芍药：，6g；桔梗：，3g；
柴葛解肌汤1,解表剂,柴胡：，6g；葛根：，6g；黄岑：，6g；赤芍：，6g；甘草：，3g；知母：，5g；生地：，9g；丹皮：，3g；贝母：，6g；
升麻葛根汤,解表剂,升麻：，6g；白芍药：，6g；甘草：炙，6g；葛根：，9g；
败毒散,解表剂,柴胡：洗&去芦，6g；前胡：，6g；川芎：，6g；枳壳：，6g；羌活：，6g；独活：，6g；茯苓：，6g；桔梗：炒，6g；人参：，6g；甘草：，3g；
荆防败毒散,解表剂,羌活：，4.5g；独活：，4.5g；柴胡：，4.5g；前胡：，4.5g；枳壳：，4.5g；茯苓：，4.5g；荆芥：，4.5g；防风：，4.5g；桔梗：，4.5g；川芎：，4.5g；甘草：，1.5g；
参苏饮,解表剂,人参：，9g；紫苏叶：，9g；干葛：洗，9g；半夏：汤洗七次&姜汁制炒，9g；前胡：去苗，9g；茯苓：去皮，9g；枳壳：去瓤&麸炒，6g；桔梗：去芦，6g；木香：，6g；陈皮：去白，6g；甘草：炙，6g；
再造散,解表剂,黄芪：，6g；人参：，3g；桂枝：，3g；甘草：，1.5g；熟附子：，3g；细辛：，2g；羌活：，3g；防风：，3g；川芎：，3g；煨生姜：，3g；
麻黄细辛附子汤,解表剂,麻黄：去节，6g；附子：炮&去皮，9g；细辛：，3g；
加减葳蕤汤,解表剂,生葳蕤：，9g；生葱白：，6g；桔梗：，4.5g；东白薇：，3g；淡豆豉：，12g；苏薄荷：，4.5g；炙草：，1.5g；红枣：，2g；
葱白七味饮,解表剂,葱白：连根切，9g；干葛：切，6g；新豉：，6g；生姜：切，6g；生麦门冬：去心，9g；干地黄：，9g；
大承气汤,泻下剂,大黄：酒洗，12g；厚朴：去皮&炙，24g；枳实：炙，12g；芒硝：，9g；
小承气汤,泻下剂,大黄：酒洗，12g；厚朴：去皮&炙，6g；枳实：，9g；
调胃承气汤,泻下剂,大黄：去皮&清酒洗，12g；甘草：炙，6g；芒硝：，12g；
大陷胸汤,泻下剂,大黄：去皮，10g；芒硝：，10g；甘遂：，1g；
大陷胸丸,泻下剂,大黄：，15g；萃苈子：，15g；芒硝：，15g；杏仁：去皮尖&熬黑，15g；
大黄牡丹汤,泻下剂,大黄：，12g；丹皮：，3g；桃仁：，9g；冬瓜仁：，30g；芒硝：，9g；
大黄附子汤,泻下剂,大黄：，9g；附子：炮，12g；细辛：，3g；