药物名称,性,味,归经
熟地黄,温,甘,肝、肾
山药,平,甘,脾、肺、肾
山茱萸,温,酸、涩,肝、肾
牡丹皮,寒,苦、辛,心、肝、肾
牛膝,平,苦、甘、酸,肝、肾
茯苓,平,甘、淡,心、肺、脾、肾
黄芪,温,甘,肺、脾
白花蛇舌草,寒,苦、甘,心、肺、肝、大肠
半枝莲,寒,辛、苦,肺、肝、肾
蒲公英,寒,苦、甘,肝、胃
红花,温,辛,心、肝
丹参,寒,苦,心、肝
川芎,温,辛,肝、胆、心包
桃仁,平,苦、甘,心、肝、大肠
白茅根,寒,甘,肺、胃、膀胱
大蓟,凉,甘、苦,心、肝
小蓟,凉,甘、苦,肝、脾
陈皮,温,苦、辛,肺、脾
白术,温,苦、甘,脾、胃
甘草,平,甘,心、肺、脾、胃
淫羊藿,温,辛、甘,肝、肾
巴戟天,温,甘、辛,肾、肝
地黄,寒,甘、苦,心、肝、肾
龟甲,寒,咸、甘,肝、肾、心
麦冬,寒,甘、苦,心、肺、胃
栀子,寒,苦,心、肺、三焦
黄芩,寒,苦,肺、胆、脾、大肠、小肠
苦参,寒,苦,心、肝、胃、大肠、膀胱
杜仲,温,甘,肝、肾
续断,温,苦、辛,肝、肾
女贞子,凉,甘、苦,肝、肾
当归,温,甘、辛,肝、心、脾
赤芍,寒,苦,肝
人参,温,甘、苦,脾、肺、心、肾
枸杞子,平,甘,肝、肾
地龙,寒,咸,肝、脾、膀胱
穿山甲,寒,咸,肝、胃
水蛭,平,咸、苦,肝
黄柏,寒,苦,肾、膀胱
苍术,温,辛、苦,脾、胃、肝
薏苡仁,凉,甘、淡,脾、胃、肺
荠菜花,凉,甘,肝、脾
土茯苓,平,甘、淡,肝、胃
决明子,寒,甘、苦、咸,肝、大肠
车前子,寒,甘,肝、肾、肺、小肠
车前草,寒,甘,肝、肾、肺、小肠
大黄,寒,苦,脾、胃、大肠、肝、心包
五味子,温,酸、甘,肺、心、肾
法半夏,温,辛,脾、胃、肺
橘红,温,辛、苦,肺、脾
枳实,寒,苦、辛、酸,脾、胃
鱼腥草,寒,辛,肺
紫花地丁,寒,苦、辛,心、肝
蝉蜕,寒,甘,肺、肝
益母草,寒,苦、辛,肝、心包、膀胱
虎杖,寒,苦,肝、胆、肺
墨旱莲,寒,甘、酸,肾、肝
太子参,平,甘、苦,脾、肺
黄连,寒,苦,心、脾、胃、肝、胆、大肠
半夏,温,辛,脾、胃、肺
荆芥,温,辛,肺、肝
连翘,寒,苦,肺、心、小肠
僵蚕,平,咸、辛,肝、肺、胃
防风,温,辛、甘,膀胱、肝、脾
石韦,寒,甘、苦,肺、膀胱
鸡内金,平,甘,脾、胃、小肠、膀胱
麻黄,温,辛、苦,肺、膀胱
桂枝,温,辛、甘,心、肺、膀胱
桑叶,寒,甘、苦,肺、肝
菊花,寒,甘、苦,肺、肝
姜黄,温,辛、苦,脾、肝
龙葵,寒,苦,肝、胃
山楂,温,酸、甘,脾、胃、肝
豆蔻,温,辛,肺、脾、胃
桔梗,平,苦、辛,肺
党参,平,甘,脾、肺
附子,大热,辛、甘,心、肾、脾
猪苓,平,甘、淡,肾、膀胱
茜草,寒,苦,肝
清半夏,温,辛,脾、胃、肺
芡实,平,甘、涩,脾、肾
白芍,寒,苦、酸,肝、脾
金银花,寒,甘,肺、心、胃
玉米须,平,甘、淡,肾、胃、肝、胆
炙甘草,平,甘,心、肺、脾、胃
升麻,寒,辛、甘,肺、脾、胃、大肠
柴胡,寒,辛、苦,肝、胆、肺
阿胶,平,甘,肺、肝、肾
淡竹叶,寒,甘、淡,心、胃、小肠
知母,寒,苦、甘,肺、胃、肾
益智,温,辛,脾、肾
莪术,温,辛、苦,肝、脾
石斛,寒,甘,胃、肾
水牛角,寒,苦,心、肝
地骨皮,寒,甘,肺、肝、肾
石膏,大寒,甘、辛,肺、胃
泽泻,寒,甘、淡,肾、膀胱
藕节,平,甘、涩,肝、肺、胃
桑寄生,平,苦、甘,肝、肾
菟丝子,平,辛、甘,肝、肾、脾
萆Z,平,苦,肝、胃、膀胱
蒲黄,平,甘,肝、心包
金樱子,平,酸、甘、涩,肾、膀胱、大肠
通草,寒,甘、淡,肺、胃
独活,温,辛、苦,肾、膀胱
全蝎,平,辛,肝
青风藤,平,苦、辛,肝、脾
仙茅,热,辛,肾、肝、脾
狗脊,温,苦、甘,肝、肾
沙苑子,温,甘,肝、肾
莲须,平,甘、涩,心、肾
葛根,凉,甘、辛,脾、胃、肺
何首乌,温,苦、甘、涩,肝、心、肾
红参,温,甘、苦,脾、肺、心、肾
粪箕笃,寒,苦,肝、胆、大肠
泽兰,温,苦、辛,肝、脾
补骨脂,温,辛、苦,肾、脾
肉桂,大热,辛、甘,肾、脾、心、肝
紫苏叶,温,辛,肺、脾
仙鹤草,平,苦、涩,心、肝
大腹皮,温,辛,脾、胃、大肠、小肠
冬瓜皮,凉,甘,脾、小肠
干姜,热,辛,脾、胃、肾、心、肺
钩藤,凉,甘,肝、心包
石决明,寒,咸,肝
川牛膝,平,甘、苦,肝、肾
乌梢蛇,平,甘,肝
白僵蚕,平,辛、咸,肝、肺、胃
鳖甲,寒,咸,肝、肾
砂仁,温,辛,脾、胃、肾
木香,温,辛、苦,脾、胃、肝、肺
天麻,平,甘,肝
黄精,平,甘,脾、肺、肾
雷公藤,凉,苦、辛,肝、肾
肉苁蓉,温,甘、咸,肾、大肠
龙骨,平,涩、甘,心、肝、肾、大肠
牡蛎,寒,咸,肝、胆、肾
鹿衔草,温,甘、苦,肝、肾
大枣,温,甘,脾、胃、心
防己,寒,苦,膀胱、肺
白马骨,凉,淡、苦、辛,肝、脾
徐长卿,温,辛,肝、胃
夏枯草,寒,辛、苦,肝、胆
茯苓皮,平,甘、淡,肺、脾、肾
炙黄芪,温,甘,肺、脾
桑椹子,寒,甘、酸,肝、肾
覆盆子,温,甘、酸,肝、肾、膀胱
莲子,平,甘、涩,脾、肾、心
核桃仁,温,甘,肾、肺、大肠
蚤休,寒,苦,肝
桑白皮,寒,甘,肺
马鞭草,凉,苦,肝、脾
生姜,温,辛,肺、脾、胃
桑螵蛸,平,甘、咸,肝、肾
青葙子,寒,苦,肝
地榆,寒,苦、酸、涩,肝、大肠
三七,温,甘、苦,肝、胃
玄参,寒,甘、苦、咸,肺、胃、肾
漏芦,寒,苦,胃
冬虫夏草,平,甘,肺、肾
鹿角霜,温,咸、涩,肝、肾
鸡血藤,温,苦、甘,肝、肾
竹茹,寒,甘,肺、胃、心、胆
神曲,温,甘、辛,脾、胃
椒目,温,苦、辛,脾、肺、膀胱
葶苈子,大寒,辛、苦,肺、膀胱
半边莲,平,辛,心、小肠、肺
苍耳子,温,辛、苦,肺
木瓜,温,酸,肝、脾
石菖蒲,温,辛、苦,心、肝、脾
郁金,寒,辛、苦,肝、心、肺
板蓝根,寒,苦,心、胃
瞿麦,寒,苦,心、小肠
野菊花,寒,苦、辛,肝、心
白鲜皮,寒,苦,脾、胃、膀胱
紫苏梗,温,辛,肺、脾
天门冬,寒,甘、苦,肺、肾
金钱草,寒,甘、咸,肝、胆、肾、膀胱
延胡索,温,苦、辛,心、肝、脾
罂粟壳,平,酸、涩,肺、大肠、肾
吴茱萸,热,辛、苦,肝、脾、胃、肾
柳枝,寒,苦,胃、肝
细辛,温,辛,心、肺、肾
白芷,温,辛,胃、大肠、肺
羌活,温,辛、苦,膀胱、肾
蛇床子,温,辛、苦,肾
樟木,温,辛,肝、脾
檀香,温,辛,脾、胃、心、肺
油松节,温,苦、辛,肝、肾
桉叶,寒,苦、辛,肺、胃、脾、肝
蒺藜,温,辛、苦,肝
金丝草,寒,苦,无
绵马贯众炭,寒,苦、涩,肝、胃
焦栀子,寒,苦,心、肺、三焦
大血藤,平,苦,大肠、肝
西洋参,凉,甘、苦,心、肺、肾
青蒿,寒,苦、辛,肝、胆
大青叶,寒,苦,心、胃
西瓜,寒,甘,心、肺、膀胱
红豆蔻,温,辛,脾、肺
芦根,寒,甘,肺、胃
佩兰,平,辛,脾、胃、肺
槐花,寒,苦,肝、大肠
白扁豆,温,甘,脾、胃
冬葵子,寒,甘,大肠、小肠、膀胱
紫河车,温,甘、咸,肺、肝、肾
赤小豆,平,甘、酸,心、小肠
厚朴,温,苦、辛,脾、胃、肺、大肠
天冬,寒,甘、苦,肺、肾
红大戟,寒,苦,肺、脾、肾
银柴胡,寒,甘,肝、胃
败酱草,凉,苦、辛,胃、大肠、肝
丝瓜络,平,甘,肺、胃、肝
皂角刺,温,辛,肝、胃
芒硝,寒,咸、苦,胃、大肠
荆芥穗炭,温,辛、涩,肺、肝
侧柏叶,寒,苦、涩,肺、肝、脾
五倍子,寒,酸、涩,肺、大肠、肾
片姜黄,温,辛、苦,脾、肝
桑枝,平,苦,肝
积雪草,寒,苦、辛,肝、脾、肾
竹沥,寒,甘、苦,心、肝、肺
肉豆蔻,温,辛,脾、胃、大肠
木防己,寒,苦、辛,膀胱、肾、脾
花椒,温,辛,脾、胃、肾
黑豆,平,甘,脾、肾
羚羊角,寒,咸,肝、心
磁石,寒,成,肝、心、肾
龙齿,凉,甘、涩,心、肝
酸枣仁,平,甘、酸,肝、胆、心
远志,温,苦、辛,心、肾、肺
鹿角,温,咸,肾、肝
鸡子黄,平,甘,心、肾、脾
木通,寒,苦,心、小肠、膀胱
杏仁,温,苦,肺、大肠
紫苏子,温,辛,肺
莱菔子,平,辛、甘,肺、脾、胃
射干,寒,苦,肺
浮萍,寒,辛,肺
天葵子,寒,甘、苦,肝、胃
芍药,寒,苦、酸,肝、脾
地肤子,寒,辛、苦,肾、膀胱
竹叶,寒,甘、淡,心、肺、胃
滑石粉,寒,甘、淡,膀胱、肺、胃
广藿香,温,辛,肺、脾、胃
草果,温,辛,脾、胃
赭石,寒,苦,肝、心、肺、胃
鬼羽箭,寒,苦、辛,肝、脾
荜澄茄,温,辛,脾、胃、肾、膀胱
制天南星,温,苦、辛,肺、肝、脾
制何首乌,温,苦、甘、涩,肝、心、肾
灵芝,平,甘,心、肺、肝、肾
海藻,寒,苦、咸,肝、胃、肾
荆芥穗,温,辛,肺、肝
百合,寒,甘,心、肺
姜半夏,温,辛,脾、胃、肺
牡蛎,寒,咸,肝、胆、肾
滑石,寒,甘、淡,膀胱、肺、胃
黄麻子,温,苦,肺、肝、肾
穿山龙,温,甘、苦,肝、肾、肺
g莶,寒,苦、辛,肝、肾
枇杷叶,寒,苦,肺、胃
薄荷,凉,辛,肺、肝
淡豆豉,凉,苦、辛,肺、胃
牛蒡子,寒,辛、苦,肺、胃
三棱,平,辛、苦,肝、脾
瓜蒌,寒,甘、苦,肺、胃、大肠
蜈蚣,温,辛,肝
乌梅,平,酸、涩,肝、脾、肺、大肠
枳壳,寒,苦、辛、酸,脾、胃
槟榔,温,苦、辛,胃、大肠
刘寄奴,温,苦、辛,心、肝、脾
山豆根,寒,苦,肺、胃
广藿香,温,辛,脾、胃、肺
牵牛子,寒,苦,肺、肾、大肠
甘遂,寒,苦,肺、肾、大肠
郁李仁,平,辛、苦、甘,脾、大肠、小肠
商陆,寒,苦,肺、脾、肾、大肠
秦艽,平,辛、苦,胃、肝、胆
乌药,温,辛,肺、脾、肾、膀胱
珍珠母,寒,咸,肝、心
火麻仁,平,甘,脾、胃、大肠
麦芽,平,甘,脾、胃
九香虫,温,咸,肝、脾、肾
天花粉,寒,甘、苦,肺、胃
西瓜皮,凉,甘,心、胃、膀胱
沙参,寒,甘、苦,肺、胃
五加皮,温,辛、苦,肝、肾
香附,平,辛、苦、甘,肝、脾、三焦
炮姜,热,辛,脾、胃、肾
南沙参,寒,甘,肺、胃
玉竹,寒,甘,肺、胃
黄芪,温,甘,肺、脾
王不留行,平,苦,肝、胃
合欢花,平,甘,心、肝
夜交藤,平,甘、苦,心、肝
贯众,寒,苦、涩,肝、胃
q蓄,寒,苦,膀胱
白果,平,甘、苦、涩,肺、肾
五灵脂,温,苦、甘,肝、脾
桑椹,寒,甘、酸,心、肝、肾
冬瓜子,寒,甘,肺、大肠
白薇,寒,苦、成,胃、肝、肾
蜀羊泉,寒,苦,肝、肺
艾叶,温,辛、苦,肝、脾、肾
青黛,寒,咸,肝
沙苑疾黎,温,甘,肝、肾
锁阳,温,甘,肝、肾、大肠
茵陈,寒,苦、辛,脾、胃、肝、胆
草,寒,甘、苦,肺、肾
蝉蜕,寒,甘,肺、肝
猫爪草,温,甘、辛,肝、肺
鹿角胶,温,甘、咸,肾、肝
龟甲胶,凉,咸、甘,肝、肾、心
黑大豆,平,甘,脾、肾
金荞麦,凉,辛、涩,肺
红景天,平,甘、苦,肺、心
浙贝母,寒,苦,肺、心
小茴香,温,辛,肝、肾、脾、胃
佛手,温,辛、苦、酸,肝、脾、胃、肺
石见穿,寒,辛、苦,肝、脾
山茱萸,温,酸、涩,肝、肾
吴茱萸,热,辛、苦,肝、脾、胃、肾
小蓟,凉,甘、苦,肝、脾
苦丁茶,寒,苦、甘,肝、肺、胃
荷叶,平,苦,肝、脾、胃
蚕沙,平,甘、辛,脾、胃
忍冬藤,寒,甘,肺、胃
白头翁,寒,苦,胃、大肠
苏木,平,甘、咸,心、肝、脾
灯心草,寒,甘、淡,心、肺、小肠
重楼,寒,苦,肝
山慈菇,凉,甘、辛,肝、脾
高良姜,热,辛,脾、胃
栀子,寒,苦,心、肺、三焦
车前子,寒,甘,肾、膀胱
海螵蛸,温,咸、涩,脾、肾
大蒜,温,辛,脾、胃、肺
斑蝥,热,辛,肝、胃、肾
马钱子,温,苦,肝、脾
梨皮,凉,甘、涩,肺、胃
前胡,寒,苦、辛,肺
紫菀,温,辛、苦,肺
百部,温,甘、苦,肺
款冬花,温,辛、苦,肺
川贝母,寒,苦、甘,肺、心
紫草,寒,甘、咸,心、肝
金龙胆草,寒,苦,肺、肝
北沙参,寒,甘、苦,肺、胃
猫须草,凉,甘、苦,无
罗布麻叶,凉,甘、苦,肝
爵床,寒,苦、咸、辛,肺、肝、膀胱
茯神,平,甘、淡,心、脾
龙眼肉,温,甘,心、脾
蔓荆子,寒,辛、苦,膀胱、肝、胃
荠菜,凉,甘、淡,肝、脾、膀胱
合欢皮,平,甘,心、肝、肺
香橼,温,辛、苦、酸,肝、脾、肺
枸骨叶,凉,苦,肝、肾
刺五加,温,辛、苦,脾、肾、心
乳香,温,辛、苦,心、肝、脾
没药,平,辛、苦,心、肝、脾
海风藤,寒,苦,心、肾
卷柏,平,辛,肝、心
血余炭,平,苦,肝、胃
鱼鳔,平,甘,肾、肝
青皮,温,苦、辛,肝、胆、胃
柏子仁,平,甘,心、肾、大肠
枣核,平,苦,肝、肾
龟甲胶,凉,咸、甘,心
金橘,温,甘、酸、辛,肝、脾、肾
糯米,温,甘,脾、胃、肺
诃子,平,苦、酸、涩,肺、大肠
谷芽,温,甘,脾、胃
桂皮,温,辛、甘,脾、胃、肝、肾
